datetime,data
6/9/21 10:06 PM,15
6/10/21 12:49 AM,15
6/10/21 1:06 AM,8
6/10/21 1:22 AM,10
6/10/21 1:38 AM,12
6/10/21 1:54 AM,14
6/10/21 2:11 AM,6
6/10/21 2:27 AM,11
6/10/21 2:43 AM,10
6/10/21 3:00 AM,11
6/10/21 3:16 AM,8
6/10/21 3:32 AM,11
6/10/21 3:49 AM,10
6/10/21 4:05 AM,11
6/10/21 4:21 AM,11
6/10/21 4:39 AM,7
6/10/21 4:55 AM,7
6/10/21 5:12 AM,12
6/10/21 5:28 AM,8
6/10/21 5:44 AM,9
6/10/21 6:01 AM,13
6/10/21 6:17 AM,7
6/10/21 6:33 AM,10
6/10/21 6:50 AM,9
6/10/21 7:06 AM,12
6/10/21 7:23 AM,15
6/10/21 7:39 AM,8
6/10/21 7:55 AM,9
6/10/21 8:12 AM,9
6/10/21 8:28 AM,11
6/10/21 8:44 AM,30
6/10/21 9:01 AM,135
6/10/21 9:17 AM,10
6/10/21 9:33 AM,11
6/10/21 9:49 AM,10
6/10/21 10:06 AM,8
6/10/21 10:22 AM,10
6/10/21 10:38 AM,16
6/10/21 10:55 AM,17
6/10/21 11:11 AM,21
6/10/21 11:27 AM,17
6/10/21 11:44 AM,23
6/10/21 12:00 PM,9
6/10/21 12:16 PM,12
6/10/21 12:33 PM,19
6/10/21 12:49 PM,15
6/10/21 1:05 PM,18
6/10/21 1:22 PM,13
6/10/21 1:38 PM,15
6/10/21 2:15 PM,34
6/10/21 2:32 PM,25
6/10/21 2:48 PM,22
6/10/21 3:04 PM,23
6/10/21 3:21 PM,21
6/10/21 3:37 PM,23
6/10/21 3:53 PM,20
6/10/21 4:10 PM,20
6/10/21 4:26 PM,25
6/10/21 4:42 PM,20
6/10/21 4:59 PM,18
6/10/21 5:15 PM,23
6/10/21 5:31 PM,30
6/10/21 5:48 PM,16
6/10/21 6:04 PM,23
6/10/21 6:20 PM,19
6/10/21 6:37 PM,16
6/10/21 6:53 PM,21
6/10/21 7:09 PM,26
6/10/21 7:26 PM,20
6/10/21 7:42 PM,17
6/10/21 7:58 PM,13
6/10/21 8:14 PM,18
6/10/21 8:31 PM,18
6/10/21 8:47 PM,16
6/10/21 9:03 PM,11
6/10/21 9:20 PM,12
6/10/21 9:36 PM,15
6/10/21 9:52 PM,13
6/10/21 10:09 PM,25
6/10/21 10:25 PM,12
6/10/21 10:41 PM,14
6/10/21 10:58 PM,13
6/10/21 11:14 PM,10
6/10/21 11:30 PM,13
6/10/21 11:47 PM,8
6/11/21 12:03 AM,12
6/11/21 12:19 AM,7
6/11/21 12:36 AM,7
6/11/21 12:52 AM,12
6/11/21 1:08 AM,9
6/11/21 1:25 AM,9
6/11/21 1:41 AM,10
6/11/21 1:57 AM,8
6/11/21 2:14 AM,7
6/11/21 2:30 AM,12
6/11/21 2:46 AM,9
6/11/21 3:03 AM,8
6/11/21 3:19 AM,12
6/11/21 3:35 AM,9
6/11/21 3:52 AM,11
6/11/21 4:08 AM,10
6/11/21 4:24 AM,10
6/11/21 4:41 AM,10
6/11/21 4:57 AM,10
6/11/21 5:13 AM,10
6/11/21 5:30 AM,10
6/11/21 5:46 AM,10
6/11/21 6:02 AM,10
6/11/21 6:19 AM,10
6/11/21 6:35 AM,12
6/11/21 6:51 AM,8
6/11/21 7:08 AM,11
6/11/21 7:24 AM,10
6/11/21 7:40 AM,11
6/11/21 7:56 AM,4
6/11/21 8:13 AM,10
6/11/21 8:29 AM,12
6/11/21 8:45 AM,14
6/11/21 9:23 AM,16
6/11/21 9:39 AM,11
6/11/21 9:55 AM,11
6/11/21 10:12 AM,15
6/11/21 10:28 AM,8
6/11/21 10:44 AM,11
6/11/21 11:01 AM,10
6/11/21 11:17 AM,10
6/11/21 11:33 AM,7
6/11/21 11:50 AM,10
6/11/21 12:06 PM,11
6/11/21 12:22 PM,12
6/11/21 12:39 PM,11
6/11/21 12:55 PM,9
6/11/21 1:11 PM,13
6/11/21 1:28 PM,8
6/11/21 1:44 PM,8
6/11/21 2:00 PM,8
6/11/21 2:17 PM,14
6/11/21 2:33 PM,8
6/11/21 2:49 PM,7
6/11/21 3:06 PM,11
6/11/21 3:22 PM,8
6/11/21 3:38 PM,12
6/11/21 3:55 PM,14
6/11/21 4:11 PM,12
6/11/21 4:27 PM,9
6/11/21 4:44 PM,21
6/11/21 5:00 PM,24
6/11/21 5:16 PM,11
6/11/21 5:33 PM,14
6/11/21 5:49 PM,17
6/11/21 6:05 PM,11
6/11/21 6:22 PM,9
6/11/21 6:59 PM,13
6/11/21 7:15 PM,12
6/11/21 7:32 PM,8
6/11/21 7:48 PM,11
6/11/21 8:04 PM,8
6/11/21 8:20 PM,9
6/11/21 8:58 PM,14
6/11/21 9:35 PM,13
6/11/21 9:51 PM,12
6/11/21 10:08 PM,11
6/11/21 10:24 PM,16
6/11/21 10:40 PM,11
6/11/21 10:57 PM,19
6/11/21 11:13 PM,15
6/11/21 11:29 PM,11
6/11/21 11:46 PM,27
