,B_Ext,B_Time,B_Humid,TFTime,TFValue,TDiff
251,,,,2021-06-03 23:25:00,4083,
252,,,,2021-06-03 23:42:00,4197,
253,,,,2021-06-03 23:58:00,4202,
254,,,,2021-06-04 00:14:00,4214,
255,,,,2021-06-04 00:30:00,4146,
256,,,,2021-06-04 00:47:00,4217,
257,,,,2021-06-04 01:03:00,4231,
258,,,,2021-06-04 01:19:00,4238,
259,,,,2021-06-04 01:36:00,4244,
260,,,,2021-06-04 01:52:00,4251,
261,,,,2021-06-04 02:08:00,4258,
262,,,,2021-06-04 02:25:00,4263,
263,,,,2021-06-04 02:41:00,4270,
264,,,,2021-06-04 02:57:00,4276,
265,,,,2021-06-04 03:14:00,4286,
266,,,,2021-06-04 03:30:00,4286,
267,,,,2021-06-04 03:46:00,4294,
268,,,,2021-06-04 04:03:00,4293,
269,,,,2021-06-04 04:19:00,4266,
270,,,,2021-06-04 04:35:00,4299,
271,,,,2021-06-04 04:52:00,4304,
272,,,,2021-06-04 05:08:00,4309,
273,,,,2021-06-04 05:24:00,4312,
274,,,,2021-06-04 05:41:00,4315,
275,,,,2021-06-04 06:18:00,3828,
276,,,,2021-06-04 06:34:00,4290,
277,,,,2021-06-04 06:51:00,4319,
278,,,,2021-06-04 07:07:00,4326,
279,,,,2021-06-04 07:23:00,4338,
280,,,,2021-06-04 07:40:00,4331,
281,,,,2021-06-04 07:56:00,4339,
282,,,,2021-06-04 08:12:00,4328,
283,,,,2021-06-04 08:29:00,4339,
284,,,,2021-06-04 08:45:00,4333,
285,,,,2021-06-04 09:01:00,4343,
286,,,,2021-06-04 09:18:00,4250,
287,,,,2021-06-04 09:34:00,4337,
288,,,,2021-06-04 09:50:00,4337,
289,,,,2021-06-04 10:07:00,4346,
290,,,,2021-06-04 10:23:00,4344,
291,,,,2021-06-04 10:39:00,4345,
292,,,,2021-06-04 11:17:00,3849,
293,,,,2021-06-04 11:33:00,4299,
294,,,,2021-06-04 11:49:00,4325,
295,,,,2021-06-04 12:06:00,4325,
296,,,,2021-06-04 12:22:00,4324,
297,,,,2021-06-04 12:38:00,4325,
298,,,,2021-06-04 13:16:00,3820,
299,,,,2021-06-04 13:32:00,4262,
300,,,,2021-06-04 13:48:00,4283,
301,,,,2021-06-04 14:05:00,4275,
302,,,,2021-06-04 14:21:00,4264,
303,,,,2021-06-04 14:37:00,4262,
304,,,,2021-06-04 14:54:00,4246,
305,,,,2021-06-04 15:10:00,4311,
306,,,,2021-06-04 15:26:00,4223,
307,,,,2021-06-04 15:43:00,4204,
308,,,,2021-06-04 15:59:00,4195,
309,,,,2021-06-04 16:15:00,4172,
310,,,,2021-06-04 16:32:00,3401,
311,,,,2021-06-04 16:48:00,3249,
312,,,,2021-06-04 17:04:00,3068,
313,,,,2021-06-04 17:21:00,1809,
314,,,,2021-06-04 17:37:00,1611,
315,,,,2021-06-04 17:53:00,1657,
316,,,,2021-06-04 18:14:00,1223,
317,,,,2021-06-04 18:30:00,1939,
318,,,,2021-06-04 18:46:00,1967,
319,,,,2021-06-04 19:03:00,2709,
320,,,,2021-06-04 19:19:00,2760,
321,,,,2021-06-04 19:35:00,2641,
322,,,,2021-06-04 19:52:00,4955,
323,,,,2021-06-04 20:08:00,32,
324,,,,2021-06-04 20:45:00,26,
325,,,,2021-06-04 21:02:00,11,
326,,,,2021-06-04 21:18:00,27,
327,,,,2021-06-04 21:34:00,23,
328,,,,2021-06-04 21:51:00,22,
329,,,,2021-06-04 22:07:00,19,
330,,,,2021-06-04 22:23:00,20,
331,,,,2021-06-04 22:40:00,11,
332,,,,2021-06-04 23:17:00,24,
333,,,,2021-06-04 23:33:00,13,
334,,,,2021-06-04 23:50:00,10,
335,,,,2021-06-05 00:06:00,7,
336,,,,2021-06-05 00:22:00,9,
337,,,,2021-06-05 00:39:00,11,
338,,,,2021-06-05 00:55:00,10,
339,,,,2021-06-05 01:11:00,13,
340,,,,2021-06-05 01:28:00,9,
341,,,,2021-06-05 01:44:00,11,
342,,,,2021-06-05 02:00:00,11,
343,,,,2021-06-05 02:17:00,8,
344,,,,2021-06-05 02:33:00,12,
345,,,,2021-06-05 02:49:00,12,
346,,,,2021-06-05 03:06:00,10,
347,,,,2021-06-05 03:22:00,13,
348,,,,2021-06-05 03:38:00,9,
349,,,,2021-06-05 03:55:00,12,
350,,,,2021-06-05 04:11:00,10,
351,,,,2021-06-05 04:27:00,12,
352,,,,2021-06-05 04:44:00,11,
353,,,,2021-06-05 05:00:00,10,
354,,,,2021-06-05 05:16:00,10,
355,,,,2021-06-05 05:33:00,14,
356,,,,2021-06-05 05:49:00,10,
357,,,,2021-06-05 06:05:00,11,
358,,,,2021-06-05 06:22:00,15,
359,,,,2021-06-05 06:38:00,9,
360,,,,2021-06-05 06:54:00,13,
361,,,,2021-06-05 07:11:00,11,
362,,,,2021-06-05 07:27:00,11,
363,,,,2021-06-05 07:43:00,13,
364,,,,2021-06-05 07:59:00,15,
365,,,,2021-06-05 08:16:00,8,
366,,,,2021-06-05 08:32:00,11,
367,,,,2021-06-05 08:48:00,9,
368,,,,2021-06-05 09:05:00,13,
369,,,,2021-06-05 09:21:00,9,
370,,,,2021-06-05 09:37:00,16,
371,,,,2021-06-05 09:54:00,11,
372,,,,2021-06-05 10:31:00,70,
373,,,,2021-06-05 10:47:00,632,
374,,,,2021-06-05 11:04:00,26,
375,,,,2021-06-05 11:20:00,1127,
376,,,,2021-06-05 11:36:00,22,
377,,,,2021-06-05 11:53:00,13,
378,,,,2021-06-05 12:09:00,14,
379,,,,2021-06-05 12:25:00,15,
380,,,,2021-06-05 12:42:00,21,
381,,,,2021-06-05 12:58:00,13,
